,lower Modal_Price,upper Modal_Price
2017-06-01,927.2612680750487,3531.694940859202
2017-07-01,413.5137905029194,3900.5090792439814
2017-08-01,222.20642142980228,4277.307274605643
2017-09-01,56.185905657059266,4514.778752273499
2017-10-01,-71.88666105787706,4687.28659894213
2017-11-01,-191.04086533682903,4798.722592817019
2017-12-01,-275.2190085181255,4895.1285254288905
2018-01-01,-947.4517141266683,4366.608036961265
2018-02-01,-1056.1638647283532,4373.911678686336
2018-03-01,-1126.5361080385126,4398.709972384206
2018-04-01,-1114.559656386923,4491.676251560649
2018-05-01,-1158.672955186284,4534.152508213214
2018-06-01,-658.3334522916539,5102.235850281574
2018-07-01,-749.7674180008462,5069.410200423218
2018-08-01,-695.0977894082175,5174.660474928645
2018-09-01,-686.0133866693809,5227.343165280299
2018-10-01,-685.5547923694817,5265.367376097482
2018-11-01,-704.9572007574911,5278.350565217952
2018-12-01,-713.5921614781155,5297.692034514545
2019-01-01,-1242.1202203971093,4793.456151090446
